EID,Xvalue,Yvalue,Zvalue,time
18416,-6.712144374847412,-9.78869342803955,-6.339846134185791,2017-04-14 20:28:32.672
18417,-7.304709434509277,-11.109095573425293,-5.328295707702637,2017-04-14 20:28:32.682
18418,-7.339425086975098,-13.171700477600098,-2.846705913543701,2017-04-14 20:28:32.692
18419,-5.6467247009277335,-14.961366653442385,-0.3770867586135864,2017-04-14 20:28:32.701
18420,-3.999513864517212,-16.425420761108402,1.1755530834197998,2017-04-14 20:28:32.712
18421,-2.823961019515991,-16.91862678527832,1.4053963422775269,2017-04-14 20:28:32.723
18422,-1.6292542219161987,-15.883133888244627,1.048660397529602,2017-04-14 20:28:32.732
18423,-0.8643068075180054,-14.660894393920898,2.032677173614502,2017-04-14 20:28:32.743
18424,-1.0187327861785889,-13.639766693115234,2.778470993041992,2017-04-14 20:28:32.753
18425,-2.9508535861968994,-12.088324546813965,3.622427225112915,2017-04-14 20:28:32.766
18426,-4.413711071014403,-9.497797966003418,4.4951138496398935,2017-04-14 20:28:32.772
18427,-4.911705017089844,-7.547720909118652,5.039794445037842,2017-04-14 20:28:32.781
18428,-7.0557122230529785,-6.215347766876223,2.3487119674682617,2017-04-14 20:28:32.791
18429,-9.015366554260254,-5.51504373550415,-2.410961151123047,2017-04-14 20:28:32.801
18430,-9.321824073791504,-4.677073001861572,-6.585251808166504,2017-04-14 20:28:32.811
18431,-6.056133270263673,-5.171475887298584,-1.1971008777618408,2017-04-14 20:28:32.821
18432,-3.445256233215332,-6.259640216827393,1.7214310169219968,2017-04-14 20:28:32.831
18433,-2.0350713729858403,-6.467936038970947,2.391807556152344,2017-04-14 20:28:32.841
18434,-0.8188169598579407,-6.113594055175781,1.9045875072479248,2017-04-14 20:28:32.851
18435,-0.12090718746185306,-5.626373767852783,1.7609353065490725,2017-04-14 20:28:32.861
18436,0.3052607178688049,-4.927267074584961,1.0438719987869265,2017-04-14 20:28:32.871
18437,0.2980781197547913,-4.247313976287842,0.5674257874488831,2017-04-14 20:28:32.881
18438,0.181959331035614,-3.5039141178131104,0.2861070930957794,2017-04-14 20:28:32.892
18439,0.27054479718208313,-2.788047790527344,-0.11013327538967133,2017-04-14 20:28:32.902
18440,0.5829881429672241,-2.560598611831665,-0.39145198464393616,2017-04-14 20:28:32.912
18441,1.0115501880645752,-2.84790301322937,-0.4644751250743866,2017-04-14 20:28:32.921
18442,1.3096283674240112,-3.3159694671630864,-0.20350714027881625,2017-04-14 20:28:32.931
18443,1.5753847360610962,-3.83191990852356,-0.03591302409768105,2017-04-14 20:28:32.942
18444,1.8052281141281128,-4.272452831268311,-0.23104046285152435,2017-04-14 20:28:32.952
18445,1.7357962131500244,-4.5394062995910645,-0.17956513166427612,2017-04-14 20:28:32.962
18446,1.0522516965866089,-4.8291049003601065,-0.04908113554120064,2017-04-14 20:28:32.973
18447,0.2932897210121155,-5.157110691070557,0.056263741105794914,2017-04-14 20:28:32.984
